"collection","msigdb_version","contrast","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_DNA_DAMAGE_RESPONSE_ONLY_ATM_DEPENDENT",0.0614136476531617,0.113392237705977,0.321775918075361,-0.323225499951532,-1.3288090381825,107,"PIK3C3;AKT3;LDLR;WNT2B;CAT;MLKL;PIK3R5;JUN;MYC;BCL6;APC;WNT2;WNT7A;TCF7L1;CDKN1A;FRAT1;MAP3K4;PIK3C2A;CCND2;PIK3R1;SMAD4;NFKB1;PIK3CA;PIK3R3;MAPK1;HMGB1;PTEN;RAC2;PIK3CD;CCND3;FOXO3;CDKN1B;RHOA;GSK3B;FOSL1"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR",7.91288027763774e-09,4.75492169410777e-07,0.747739663149885,0.586065514197698,2.27216825663071,78,"PARP1;MCM2;PALB2;FEN1;PCNA;FOXM1;CDK1;FANCI;RAD51;RMI1;HUS1;BRIP1;CDC45;CHEK1;CDC25C;EXO1;BRCC3;RECQL4;BARD1;CHEK2;RAD1;TDP1;E2F1;CLK2;RPA2;PLK1;FANCD2;BRCA2;RECQL5;BRCA1;CLSPN;DCLRE1A;RFWD3;ATR;SMARCAL1;PRKDC;SMC1A;FANCA;RAD17"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_DNA_IRDOUBLE_STRAND_BREAKS_AND_CELLULAR_RESPONSE_VIA_ATM",7.38831090929008e-06,0.000106166815457408,0.610526878385931,0.588641376197549,2.14456976095432,52,"PARP1;CDK5;PCNA;BAK1;RAD51;CHEK1;CDC25C;EXO1;ACTL6A;CDKN2A;CHEK2;CASP3;NABP2;E2F1;FANCD2;BRCA2;BRCA1;ATR;PRKDC;BAX;SMC1A;BLM;RAD17;DCLRE1C"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_DNA_MISMATCH_REPAIR",0.000199572943090838,0.00141847005788219,0.518848077743792,0.660948703138476,1.96867104860321,23,"PMS2;PCNA;POLE2;RFC4;RPA3;EXO1;POLD2;LIG1;RPA2;RFC2;POLE;POLD1;RFC5;POLD4"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK",1.19552243877285e-09,8.78044813365396e-08,0.788186810800237,0.548408825832449,2.26019490575989,113,"PARP1;PALB2;FEN1;PMS2;APEX2;APEX1;PCNA;SMUG1;FANCI;RAD51;GTF2H4;POLE2;BRIP1;RFC4;RPA3;CHEK1;EXO1;FANCF;POLD2;DDB1;MPG;LIG1;FANCL;POLM;FANCG;RPA2;FANCD2;BRCA2;ERCC2;BRCA1;PARP2;RAD54B;RFC2;MUTYH;NEIL3;MNAT1;ATR;FANCE;PRKDC;FANCM;LIG3;ERCC8;UNG;NTHL1;FANCA;DCLRE1C;POLH;XRCC4;POLE;ERCC4;RAD51C;FANCB;XRCC1;POLD1;RFC5;RAD50;PNKP;GTF2H3;XRCC6;POLD4;CDK7"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_DNA_REPLICATION",3.06680157308536e-08,1.44796845700673e-06,0.719512826338911,0.688147282465803,2.39645429147295,42,"GMNN;MCM2;PCNA;ORC6;POLE2;MCM4;CDC45;RFC4;RPA3;CDC6;CDT1;MCM10;POLD2;ORC1;RPA2;ORC5;DBF4;RFC2;MCM3;PRIM2;MCM6;MCM5;PRIM1;MCM7;POLE;POLD1;RFC5;POLA2"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_DOPAMINERGIC_NEUROGENESIS",0.255965292841649,0.337037965275557,0.125033367555272,-0.352611275901606,-1.14389705826403,30,"CDKN1C;NR4A2;MSX1;ALDH1A1;SLC18A2;STAT3"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_DRAVET_SYNDROME",0.169603524229075,0.251363070662373,0.158514105424824,-0.385650481145762,-1.23436099646221,29,"SCN4B;SCN2B;SCN3B;SCN1A;CALM1;NFKB1;PIK3CA;TNF;SCN3A;PRR5L;STXBP1;RICTOR;MAPK11"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_DRUG_INDUCTION_OF_BILE_ACID_PATHWAY",0.194545454545455,0.278946953263656,0.132147260608774,0.450260473837708,1.2456158538065,17,"ABCC3;VDR;BAAT"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_DYRK1A_INVOLVEMENT_REGARDING_CELL_PROLIFERATION_IN_BRAIN_DEVELOPMENT",0.355670103092784,0.427267981005892,0.0894366833718621,0.280649437438137,1.04936908735765,61,"GMNN;DEPTOR;MLST8;CASP3;TFAP4;CDK4;MTOR;RBBP4;TFDP1;EIF2B5;APP;SMARCB1;NCSTN;APH1A;PSENEN;E2F4;AMPH;TP53;LIN9;RBL1;TSC2;LIN37;LIN52;E2F5;AKT1S1;DNM1;GLI1"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_EBOLA_VIRUS_INFECTION_IN_HOST",0.000496958564119853,0.00286458386732524,0.477270815362862,-0.403288571255947,-1.71020071457586,124,"CAV1;ICAM2;CAV2;HLA-E;ITGA1;GAS6;SOCS3;TLR4;NEDD4;DAB2IP;RHOB;ITGA5;EPS15;ASGR1;NPC1;CLEC10A;CLEC4M;ADAM17;TIAM1;AXL;PIK3R1;CD300A;NFKB1;PIK3CA;CAV3;PIK3R3;MAPK1;ITGA6;RAB7A;FLNC;RELA;PIK3CD;REL;IGF1R;GSN;MBL2;ITGA4;RHOA;RFC1;FOLR1;FLNA;ITGA3;MAPK3;HLA-DPB1;CTSL"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_EBSTEINBARR_VIRUS_LMP1_SIGNALING",0.0701754385964912,0.125707221984501,0.252961123069611,-0.463310766241189,-1.39963009348723,23,"MAP3K3;MAP3K14;NFKBIA;CCL5;NFKB1;TNF;MAPK1;TRAF6;RELA;CXCL8"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_ECTODERM_DIFFERENTIATION",0.00534574734010378,0.0179367461513127,0.407017918923954,-0.3469954567831,-1.4993578708322,134,"PTPRB;LDB2;FZD4;SNCA;FYN;PODXL;SOCS2;PLCXD3;CLDN11;GATA6;BCAS3;ZBTB16;RAB8B;CDON;GAS2L1;MYC;TSC22D1;NFATC1;FZD5;ARHGAP15;SDCBP;TCF7L1;MECP2;BMPR1A;NR2F2;FGFR2;CCL2;ASTN1;SMAD4;PGM1;CTNND2;SERPINB6;SPRY2;PLXNA2;DMD;MAFB;CLVS1"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_EFFECTS_OF_MFN2_MUTATION",0.462414578587699,0.520708750334701,0.0905428948469474,-0.334261730691678,-0.990850725515776,22,"SNCA;MAP2;RAB7A;KIF1B;DYNC2H1;TRAK1;DCTN1"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_EFFECT_OF_DASATINIB_ON_THE_BCRABL_SIGNALING_PATHWAY",0.00966163423209961,0.0273956377684573,0.380730400722792,-0.441967501855258,-1.55790109111743,45,"GAB2;HSPB2;AKT3;SHC3;CRK;PXN;PIK3R1;PIK3CA;MAPK1;MEF2C;CBL;RAF1;MAPK3;MAPK11;INPP5D;ARAF;BCLAF1"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_EFFECT_OF_OMEGA3_PUFA_ON_HUNTINGTONS_DISEASE_PATHWAYS",0.116550116550117,0.188360946307157,0.199915231309662,-0.28597120109106,-1.20181988863541,120,"BDNF;PPARGC1A;AKT3;IL6;ABCG1;ITPR1;PIK3R5;IL1B;ABCA1;TSC1;PIK3C2A;PIK3R1;C1QA;NFKB1;PIK3CA;PIK3R3;HMGCR;MAPK1;SIN3A;PTEN;NR1H2;MBP;SP1;NTRK2;PIK3CD;PRR5L;RPS6KA5;RAF1;HMGCS1;RICTOR;MAPK3;CKB;SREBF2;PIK3C2B;CYP51A1;PIK3CG;PRKAG2;MAPK10;EIF4E;MAP2K4;MAP2K1;CASP7"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_EFFECT_OF_PROGERIN_ON_GENES_INVOLVED_IN_PROGERIA",0.00165284614133669,0.00743205046056608,0.45505986738723,0.626727097538571,1.84952161686348,22,"HDAC1;KDM1A;RBBP7;CBX3;CBX1;LEF1;E2F1;MTA3;SREBF1;RBBP4;CHD4;CBX5;MTA1;SUV39H1"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_EGFEGFR_SIGNALING",4.4821130620241e-06,7.5966070102511e-05,0.610526878385931,-0.416930509605027,-1.83728083724914,161,"SH3GL3;CAV1;SH3GL2;GAB2;CAV2;RAP1A;MAP3K3;PLCE1;FOSB;PRKCB;STAT5B;MEF2A;GAB1;IQSEC1;FOXO1;JUND;FOS;JAK2;PTPN5;NEDD4;DOK2;JUN;PRKCZ;GJA1;RPS6KA2;EPS15;USP8;STAT5A;RALGDS;CRK;ASAP1;MAP3K4;ROCK1;PIK3R1;RALB;ATXN2;NCK1;MAPK1;SPRY2;MAP2K5;LIMK2;STAT3;PTEN;MEF2C;SP1;REPS2;CBL;FOXO4;RPS6KA5;RAF1;MEF2D;SYNJ1;STXBP1;JAK1;ATF1;RALA;MAPK7;SH3KBP1;PEBP1;RICTOR;SH2D2A;NCK2;PIK3C2B;INPP5D;PTPN11;PTPN12;STAM;RALBP1"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_EGFR_TYROSINE_KINASE_INHIBITOR_RESISTANCE",0.00022162844519845,0.00155847236464016,0.518848077743792,-0.454484097204307,-1.80876275041779,84,"RRAS;AKT3;FGF2;KDR;GAS6;NRG1;PRKCB;IL6;GAB1;PLCG2;PDGFB;SHC3;JAK2;MYC;MRAS;FGFR2;HGF;IL6R;AXL;PIK3R1;PIK3CA;PIK3R3;VEGFA;MAPK1;STAT3;PTEN;PDGFA;PIK3CD;FOXO3;IGF1R;RAF1;GSK3B;JAK1"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_EICOSANOID_METABOLISM_VIA_CYCLOOXYGENASES_COX",0.0193202738354829,0.0471243579529674,0.352487857583619,-0.503460464594535,-1.59822197895674,28,"PTGDS;PPARG;PTGS2;PTGDR;PTGIS;PTGIR;PLA2G5;TBXA2R;HPGD;TBXAS1;PTGFR"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_EICOSANOID_METABOLISM_VIA_LIPOOXYGENASES_LOX",0.478260869565217,0.532206119162641,0.0860347242455604,-0.313107691421501,-0.975333978982481,26,"FPR2;ALOX5;LTC4S;ALOX15;HPGD"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_EICOSANOID_SYNTHESIS",0.0265273059319411,0.0600498260993598,0.352487857583619,-0.539095163774681,-1.58804698506968,20,"ALOX5;PTGDS;LTC4S;PTGS2;PTGIS;PLA2G5;ALOX5AP;ALOX15;TBXAS1"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA",0.000323358735915207,0.00203562023276145,0.49849310876659,0.46595229220168,1.79395026648834,74,"NDUFB10;UQCRQ;NDUFB9;UQCRH;SDHC;NDUFS5;SDHA;NDUFAB1;COX6B1;COX6C;NDUFS2;NDUFA1;SLC25A5;COX6A2;NDUFS6;NDUFS3;NDUFV3;SLC25A14;COX5B;NDUFA8;COX7C;COX6A1;NDUFB1;COX8A;UQCRC1;NDUFA9;NDUFB4;COX5A;NDUFV1;NDUFA6;NDUFA7;NDUFB5;NDUFA13;UQCRC2;SCO1;NDUFV2;NDUFC2;NDUFB3;NDUFA4;NDUFA11;NDUFA2;SDHB;SLC25A6;NDUFS7;UQCR10;NDUFA12"
