"","GSM494556","GSM494557","GSM494558","GSM494559","GSM494560","GSM494561","GSM494562","GSM494563","GSM494564","GSM494565","GSM494566","GSM494567","GSM494568","GSM494569","GSM494570","GSM494571","GSM494572","GSM494573","GSM494574","GSM494575","GSM494576","GSM494577","GSM494578","GSM494579","GSM494580","GSM494581","GSM494582","GSM494583","GSM494584","GSM494585","GSM494586","GSM494587","GSM494588","GSM494589","GSM494590","GSM494591","GSM494592","GSM494593","GSM494594","GSM494595","GSM494596","GSM494597","GSM494598","GSM494599","GSM494600","GSM494601","GSM494602","GSM494603","GSM494604","GSM494605","GSM494606","GSM494607","GSM494608","GSM494609","GSM494610","GSM494611","GSM494612","GSM494613","GSM494614","GSM494615","GSM494616","GSM494617","GSM494618","GSM494619","GSM494620","GSM494621","GSM494622","GSM494623","GSM494624","GSM494625","GSM494626","GSM494627","GSM494628","GSM494629","GSM494630","GSM494631","GSM494632","GSM494633","GSM494634","GSM494635","GSM494636","GSM494637","GSM494638","GSM494639","GSM494640","GSM494641","GSM494642","GSM494643","GSM494644","GSM494645","GSM494646","GSM494647","GSM494648","GSM494649","GSM494650","GSM494651","GSM494652","GSM494653","GSM494654","GSM494655","GSM494656","GSM494657","GSM494658","GSM494659","GSM494660","GSM494661","GSM494662","GSM494663","GSM494664","GSM494665","GSM494666","GSM494667","GSM494668","GSM494669","GSM494670","GSM494671","GSM494672","GSM494673","GSM494674","GSM494675"
"HALLMARK_ADIPOGENESIS",-0.0526498259234648,0.180504612904278,-0.517745801775369,0.187213862196841,-0.0111817132877272,-0.158217872957767,0.059434214034115,-0.184088035141761,-0.243489547392843,-0.0206567507894452,-0.0324800306248341,0.103147410194344,-0.193930964212441,0.00377526186018372,-0.0787906757303486,-0.656680608283758,-0.633892008308943,-0.484610090481091,0.102974651601641,0.318947244615561,-0.127226515868555,-0.311143656576261,0.128080165711165,-0.0913382514616397,-0.0222843729836688,0.422415767667995,0.362162634247499,0.238875441760658,0.123499798363376,0.202945285798393,0.401784085594248,0.0609705644395297,0.171383648001847,-0.196380911996446,-0.0448797330953815,-0.422303156599315,0.275427726364682,0.112274906924971,-0.131685472172486,0.185579008794848,-0.404778704300029,-0.308413984847764,0.074735988908436,-0.0244595880060358,-0.260246256591271,0.179789972311685,0.265902065670592,-0.109768946315148,-0.0711269564818378,0.173517143633847,0.199342773641273,0.0315083081130252,0.206574381868488,0.197905209173741,-0.147236611883783,0.214715942195215,0.152558774551127,-0.00186552135194766,-0.0532661361013684,0.238085856746215,-0.103425366442725,0.0260194380657879,-0.219877700126369,-0.170349883676567,-0.0711264335003811,-0.0691752129499167,0.0827460590414157,-0.339591299262837,0.089528991224995,-0.3531240396689,0.0926941266393976,-0.00529638692448473,0.0403574322777182,-0.139029218090182,0.136649987246858,0.0737271984320029,0.0596939665576597,0.00641272964066319,0.19220579423973,0.211705102116942,0.052524438772933,-0.0219074006428175,0.0470481267289301,0.089176113204296,-0.0412812268904126,0.210101259739434,0.0834627806247058,0.00641487211693462,0.25983719332318,0.0615864211998233,0.00537861388530899,0.117667288958657,-0.0305811737067573,-0.152080534650077,-0.117052973330954,-0.0440342590223209,0.0537226758285144,0.0481094866390332,-0.573028397824611,0.27334713340208,-0.214416822105748,-0.435064288956222,0.217286162497274,0.133426291784698,-0.168034172940452,0.11903102712688,0.155592699309574,-0.0233584254076831,-0.0473598223984787,0.255280461888007,0.0918332346106662,0.0250510321938629,0.0606956996786102,0.178507483574401,-0.255379561095037,0.161734986729871,0.173156395469301,0.0993424663826097,0.0890096010610187,-0.0647041789470024
"HALLMARK_ALLOGRAFT_REJECTION",-0.810745919359069,-0.452761998714211,-0.0925718311371262,-0.490935066937291,-0.276308607697712,0.328971000902399,-0.0047775999622063,-0.437593226629966,0.132438678284436,0.0107464040586268,0.0489435963331278,-0.0616888739936383,0.365529869219332,-0.268556974767287,0.0548101893660841,-0.608612341441203,-0.63012389045912,0.144998025880869,0.351577777630853,-0.0504920247533375,-0.483633345569321,-0.220334937497977,-0.0893854201229377,0.455114172794893,0.417151352477561,-0.199614902034425,-0.682363006057792,-0.201227263177652,-0.172014921929025,-0.322897170207955,-0.577803760616216,0.381992155713905,0.049814658858024,-0.762227346433888,-0.0194973937031999,-0.71381522612298,0.229389487704187,-0.18096358720253,0.088984171571462,-0.146872214016257,-0.354246684301966,0.724217728156805,0.311564210045591,0.247903194669245,-0.189864174672074,0.109934913429063,-0.274967555122331,0.21996329864732,0.287985646565122,0.365419727774909,-0.189665205955978,0.998101764407606,0.0405082958015465,0.287970468588064,0.717439203302916,-0.077893467772689,-0.260889329749941,-0.552712560426149,-0.593817575285048,-0.406237214893463,-0.35189426927633,-0.242794758569949,-0.34328413914685,0.421669006495789,-0.0632538184016235,-0.0056777675455922,-0.230086174061312,0.620351251243228,0.237553673480476,0.00783444056897581,-0.452597867956111,0.038048225265188,-0.149097635814292,-0.217208385468508,-0.0604778553546191,-0.374342943574417,0.00953791003616813,-0.139659746987486,-0.0570504542638463,-0.237338852983138,-0.229040076780199,-0.18135430222467,0.181723558516013,-0.0150624703912659,0.162975180863982,0.115117329360285,0.116670669526001,0.0218693172734532,0.106097069854812,-0.0200856734058348,-0.0609842254903343,0.266503925052399,0.323877709429668,-0.277366627730547,0.228089421830413,-0.454754311479362,0.047199714757853,0.0318091070641502,0.177895130378993,0.21540618203181,0.653069129670051,-0.00526355228011044,0.666770916981455,-0.0103600614300992,-0.600325885145366,0.0696622696264848,0.152447723013617,0.0917283266845601,0.0504549143821183,0.408409272911612,0.0794469204598666,0.184028631048451,0.611293838500512,0.385359996545813,0.733540574938173,0.578112527351261,0.158099808119857,0.0416278962940216,-0.142445919782927,1.21416883252726
"HALLMARK_ANDROGEN_RESPONSE",0.172034290098445,-0.174611749370153,-0.354121696071967,-0.0424024394808834,-0.0393099908382694,0.0553429612718418,0.154141207606295,-0.213264825093786,0.0838505310417191,-0.0966647566548629,0.132092911085525,-0.181209794707999,0.335690613731394,0.0489774281883919,-0.147884654437974,-0.531139765299075,-0.495055011708405,-0.0922542179474859,0.105109941709317,-0.102673405333858,-0.0581163032128418,-0.180251585523556,-0.128147059167693,-0.096228001836408,-0.125204652130162,-0.11881088026062,0.258846670750955,-0.24084403689722,-0.0402523030855977,-0.203508604820673,0.0198293736648278,-0.145530190012106,-0.134587629931692,-0.177370291223879,-0.309733047557815,-0.36002827221809,0.318317848605549,0.133148476919463,-0.226356910606243,0.0821553358644564,-0.568352395542228,-0.277940301546362,0.177339828830231,0.0764300349039806,-0.258376809967995,0.224489695586263,-0.0615561848842119,0.157390297167935,0.136317262263621,-0.0107967190214867,0.0901062438737431,0.173978225481778,-0.0148409463824199,-0.0933155944033596,0.0552696726356745,0.0870302334634939,0.427762294008734,0.120907315435277,0.185562112704253,0.0279857140898923,-0.0757555474643786,0.0622329997383144,0.210134346247231,0.23638324552932,0.14238418081826,0.0326569586443577,0.109465459033324,0.390826574801871,0.212804630642814,0.117502984838051,0.10622422011075,0.119840870038268,0.150574487566141,0.0689000690729375,-0.199921008690057,-0.0549782034539452,0.112657988112133,-0.109118857236398,-0.0513827318202315,-0.14416791718706,-0.00560337932780759,-0.222229680217692,-0.0760769552272482,0.00272400449275299,-0.133875003594404,0.216525261021899,0.0649626695460579,0.0471717358207702,0.0433619328009004,0.0834848772175128,0.0233357339096329,0.133544655443203,0.0356203688358108,-0.0876497729337655,0.0530779640970932,-0.248780684295742,0.055029982489433,0.252794507365636,-0.577217178709327,0.0465739635865543,-0.297816366209177,-0.67967239076312,0.248263763284003,0.22608853718809,-0.231446765664985,0.00931353585175499,-0.184579331528186,0.199008834118333,0.193139311701744,0.0140828464829321,-0.0120290612345547,0.212660310347767,0.359828690483556,0.0283066453513504,0.419420055393729,0.267155685983687,0.311818371883552,0.194222805832601,0.065437414833332,-0.0266081388051585
"HALLMARK_ANGIOGENESIS",-0.17310585084771,-0.439044621291351,0.53386113403171,-0.210986577023096,0.124023313314721,0.223971153601943,-0.110625993727424,0.261695192263934,0.351873897886964,0.280015224306154,0.370262954589414,-0.359792903881122,0.567338086088851,-0.11768809590525,0.526847580726861,-0.485240888627193,-0.49475773067516,-0.318701497339529,0.29548075382693,-0.098692097243816,-0.13695212520048,0.212986116197238,-0.386769690156102,0.455214589489004,-0.0496440267045205,-0.317254431470892,-0.260519670621638,-0.157415481980443,0.101507866622218,-0.524025951039082,-0.217246993582435,-0.391884819415071,0.0917980702882621,0.257023481338493,-0.0501986450216028,-0.227140951545363,-0.438235189084814,-0.124269037559115,-0.120164863158606,0.228879286098982,-0.0284531465359839,0.245174934378701,0.0413850454966365,-0.0510493081884603,0.164760120754926,0.0618616909956037,-0.326712911735282,0.525911963788967,0.07080504486163,-0.12910002728309,-0.375454721539815,-0.178653766734197,-0.575964193069435,-0.436910573426271,0.615309954504893,0.0699916474781768,-0.602385909203157,-0.490492764394594,-0.0763048579728684,-0.0859860953240694,0.0140222438086399,0.114294170382324,0.25050283294335,0.150475167127728,0.131463532796265,0.27794324763657,0.564643890223493,0.557428169773544,0.0225934992026112,0.213722388358937,0.134082009521105,0.252280638431611,0.519096561505162,0.124037437707063,-0.279769788212292,-0.283864063714303,-0.27252832073035,-0.249753424193868,-0.0331685160623643,0.240395093363083,0.0658438174702465,-0.0598532315635304,-0.143978703414971,-0.194798106724679,-0.170282221351473,-0.0724134420180488,0.144014158209861,-0.0945926690223761,-0.0428003951969167,0.0772379855821999,0.0599849805916892,-0.00683983408923368,0.0898378762904347,0.0839082035933772,0.213895199000971,0.320582248966514,0.0986765365753356,0.279374685391183,-0.380586864540308,-0.0176223515574287,-0.45774851436815,-0.739278861934701,0.538585399466852,0.266900082380692,-0.0673061638078754,0.00735359206236006,-0.0884120848033601,0.481437157223841,0.14733269041767,-0.0943651395891572,-0.116387776896829,0.0566187259673904,0.0383199130843762,-0.161463291680398,0.76688848302743,-0.126766837251081,-0.0213127020282579,0.22186947916185,-0.0576785570109819,-0.402222929904976
"HALLMARK_APICAL_JUNCTION",-0.037231628848658,0.0570322847407983,0.203555354277468,-0.340709272726187,-0.086424789589002,-0.155158368199111,0.122083685328234,0.152420055481401,-0.0458763402120646,-0.0287791482133107,0.176139401882791,-0.160895378794962,-0.0119171340734931,-0.131360243429523,-0.0338826259363872,-0.284628070607426,-0.53826127875404,-0.630809410053039,0.406541370943279,-0.0306343727005312,-0.038948441067505,0.092657505134223,-0.12956617624579,0.166633251320043,-0.065974346704628,-0.0997947991709455,0.19499770829365,0.178898318595552,-0.165365228373846,-0.23347921733365,-0.079359239508351,-0.209346600463977,-0.248119509412822,-0.0398633938316683,0.226467267507872,0.0435285594815577,-0.0503853819961481,0.0113952861277073,0.132503408364555,0.144471622478343,0.0748628146196601,0.10957778960744,0.113650728379261,0.179953864560339,-0.0606590561168235,0.268702919049931,-0.104741203854265,0.0842022564349156,0.146079997840099,-0.153005166035156,-0.190016377046523,0.00803689847405551,-0.0178031152402022,-0.134121278358634,0.453360429922293,0.0949611363105579,-0.0698705322622715,-0.398643685686027,-0.326644057968001,-0.153434460079145,-0.0486608929220503,0.108471034657628,0.245265850337622,-0.302136316892942,-0.130995531959852,0.00375351120731438,0.20857276460468,0.0242145922055099,-0.168649657386024,-0.33165180085914,-0.00335844043241889,0.129977877868285,-0.100415615761472,-0.123879351634367,-0.140203193792581,-0.158803966145202,-0.141985549499993,-0.342910698993628,0.026395929748337,0.174991898762698,0.0356549121402799,0.0143951156203955,-0.124941296020462,-0.0791049552025703,0.0727874888452486,0.178364706534373,0.323725656258618,0.0903331694387916,0.0573349763682759,0.0371620020067187,-0.112824984387983,0.0254866465074398,-0.305093804671886,-0.129297769777328,0.305148299516754,0.34071170307973,0.141092041607903,0.259821568038985,0.387770746763855,0.119708362987169,0.0666797530565638,0.00934419576337852,0.14866122702142,0.337276864075774,-0.296458199324717,0.283353006586045,0.106776035830981,0.184092476875071,-0.0275209264096993,-0.102771094762531,-0.106933899762229,0.129330218407196,-0.0438957613176747,0.0165894300554518,0.439548376297612,0.0634328064719713,0.121606866351391,0.128343425260924,-0.0854904540669937,-0.295195961438556
"HALLMARK_APICAL_SURFACE",-0.00374437305079984,-0.171456347038119,-0.0256963766268655,-0.106885286086185,-0.0908001806417341,-0.0342534054400888,-0.160613567728831,0.307656080188083,0.0267367216439382,-0.0812816357356647,0.139750440524453,-0.209746675531825,-0.175113267926777,-0.203291279064534,-0.238130351707595,-0.345364836678831,-0.341114238889841,0.0482405165276113,0.519027849763547,-0.261920196613236,-0.111574134197227,0.146784640031342,-0.128621460155161,-0.00281594244572262,-0.0962809924280752,0.179341694193166,0.226625678544995,-0.118880396401835,-0.221938655964136,-0.207842943536614,-0.0560764948930179,0.239289002911275,-0.245135159531724,-0.0770067878411633,0.0766786865526034,0.0873289119300518,-0.0365281266504082,-0.158393834559192,0.223399757375636,0.167113593298725,0.272566672136087,0.253093052089971,0.0848305675198661,-0.0768195243933766,-0.206700222617388,0.266721332106548,-0.2285152626485,-0.102607967685901,0.0113835740198489,-0.0835218700479083,-0.194931644363908,0.0626967940639221,-0.142741085620378,-0.110323411145086,0.541723692265596,0.15266912507449,-0.109661023029247,-0.204025188778544,-0.203388619607092,-0.327297373096921,-0.175433302184751,-0.0850892416570308,-0.124885596119834,0.14031268815627,0.0929405927944582,0.199520843529345,0.00649904556636065,0.152229451199179,-0.113086194773501,-0.0846454763377658,-0.166305008665911,0.0289864489242534,-0.0776425797382691,-0.168659507546168,0.0601921993467808,-0.167136966883649,-0.0621129353317936,-0.139340949807522,0.111428076642287,0.140246095685428,0.0801355793238013,0.0750970991078137,-0.096306538419701,0.027050707724914,0.290785690569246,0.113460753295924,0.28358768213695,0.215322593696255,-0.000771688547989215,-0.050851458194158,-0.0600561879252317,0.0785424123432022,0.13248871713766,-0.0276382289088843,0.266894007629196,0.134018265546435,0.0624048217431041,0.236225454460009,0.573225172123606,0.0683159402944386,0.0507884092511232,-0.0453433515876158,0.0452220843452437,0.239933295495252,-0.179198472130351,0.150541311094304,0.0231671306208172,-0.163066830966862,-0.0945859562884739,-0.0466066883662315,-0.0700733317693182,0.114666382537717,-0.112853238274933,-0.0638811248625163,0.152754259316864,-0.0413832704379346,0.0270893097981111,0.0816664902210132,-0.113106842398623,-0.0582962858946488
"HALLMARK_APOPTOSIS",-0.256187146003624,-0.1509673734972,-0.250055848425441,-0.0997468512649092,-0.133071950643219,-0.0404217037985176,-0.115848296590303,-0.130928018145855,-0.0090636194703862,0.00611902561778188,0.122584532727668,-0.164941990865288,0.331326427254177,-0.0565805082831742,0.00672401149018043,-0.452320691646469,-0.416326904451215,-0.155165370858809,0.200226828320623,0.0629782954713472,-0.192388548705079,-0.0794056807146519,-0.176051075483976,0.132225987245547,0.0251981238349744,-0.107888331429883,-0.107243561483763,0.0513217017836688,-0.0608577907633801,-0.126711791940678,-0.0795724420372611,0.0163279228451531,-0.0613225067439359,-0.209153355106922,-0.0775052657866228,-0.246048032711151,0.0212054282948006,-0.00100493295380405,-0.105918096701715,-0.134917242313197,-0.532360067511197,0.241732141961481,0.109217847716255,0.157817551021516,-0.158991362343603,0.047733896570141,-0.186765357380824,0.209161884785267,0.0755150071577667,0.0265127439720655,-0.190241528798629,0.147451573023635,0.026390327727932,-0.057175992636606,0.312945625715567,0.0122914032062984,-0.0711965264551592,-0.320893361460591,-0.240686933633017,-0.0809726486587192,-0.178310546124134,-0.0400811484064592,0.183751640336587,0.215398183160899,0.125118535199631,0.164920426173828,0.00158258740751283,0.443138597284524,0.260572543703227,-0.0875607428828226,0.0474094369831163,0.11377016797862,0.0860670399524561,-0.118682682675125,-0.150038651716601,-0.0731770415180852,-0.00440762112011917,-0.165393953331393,-0.0487375203168185,-0.0669366963955642,-0.00263687733970084,-0.134305627802596,-0.0738157976547596,0.108589756693161,-0.0503967595915083,0.139601082102567,0.056905542517009,0.0521515185510798,-0.00096123592773236,0.135051365145899,-0.0212171936025002,0.207830151260016,0.199400544550239,-0.0780044547550659,0.247849335667632,-0.108733905170158,0.0421465253473034,0.152705773385884,-0.0416863061061977,0.0469490054458868,-0.000592562677805154,-0.349559227767658,0.282021158670203,0.132964970341889,-0.249499041027053,0.0169297997010279,-0.030776648302368,0.117590788198368,0.122655002034873,0.0674655442221976,0.082042522002734,0.206722329071513,0.343723110311048,0.123599064799958,0.530783721456196,0.197937522092152,0.210904300345876,0.181244315252619,0.0280259603737136,0.0938827944456789
"HALLMARK_BILE_ACID_METABOLISM",0.180356382972532,0.119280922561599,-0.390352291941089,0.355135953284449,-0.0796790512857251,-0.210608348385291,-0.143689949681378,-0.244144643648446,-0.127132511774035,0.0408710450921174,-0.185573662907519,-0.00588315648828308,-0.192601450827119,-0.047791206681075,-0.109290996013374,-0.281529787665738,-0.276835886429485,-0.235419606840808,0.0203600005749258,0.411612690728056,0.00838672556162333,-0.173105417079601,0.128788539079186,-0.172844751988022,-0.0262032126218162,0.360666740765841,0.417800944156226,0.170472948758179,0.100380229936646,0.243766895868932,0.269264012367569,0.21660973994798,0.193646305082058,-0.171584082337649,-0.0486318619335464,-0.503332954433152,0.17394984628944,0.0255883452756633,-0.139301502023755,0.143405931709338,-0.212565634838258,-0.376651729870943,0.0683752522885402,-0.035414521203064,-0.297707392055644,0.203600730829631,0.0428945177239803,-0.207130583815746,-0.0108292233969447,0.203296824052075,0.20401742502857,0.204825585345812,0.117438351014232,0.192351294525202,-0.163731049809988,0.0200375605346091,0.207504080025346,0.165651744393647,0.000207208495728236,-0.0115172404937353,-0.136870918964362,-0.0644318351237648,-0.365161373924741,-0.0040830523144384,0.0330591092889038,-0.098125667256023,-0.26263741375516,-0.244690869037236,0.0225941636651098,-0.123089329675221,-0.0900535997211448,-0.169448013067263,-0.248427880159722,-0.264715525378512,0.253919014514205,0.125539209072767,0.120027060361262,0.178596951549787,0.252665396177245,0.216098742144257,-0.0132738015486122,0.0386472621281189,0.0931480248406285,0.0191972517509895,0.0563982778924407,0.161308372306291,0.102519645962839,0.0937727081788369,0.120443111451952,0.0138797849343833,0.0104672476663527,0.041708207907115,0.00490736224335585,-0.23722690580044,-0.201128257036002,-0.204640629334595,0.0982097100504661,0.0953788158480571,-0.0389281868809179,0.204486132246826,-0.0987331077782816,-0.000758512104345101,0.0713620587223426,0.0542846782080492,-0.128436396047701,0.184785319076579,0.108885894361594,-0.269344345284498,-0.0467800472730994,0.200786892530198,0.0956485018959463,0.00499752074726377,-0.0423453399485061,0.127225341979909,-0.349605857988409,0.192051942302031,0.120412125912646,0.152110336436105,0.0486617559740781,-0.144708130724461
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",-0.223973343143588,0.00718375576203694,-0.686455477553889,0.0412767127579902,0.0436584935181914,-0.218283084722687,0.34578000009486,-0.181146218194199,-0.212239227077031,-0.184908208029016,-0.0339184795684273,-0.153766632049709,0.00605693080355171,-0.219572321664454,-0.384576711621523,-0.253559525369855,-0.288598587465429,-0.256636713032633,0.131826145226333,0.00441514987970303,0.0820144390912713,0.0195103860758077,-0.077089992717359,-0.10192048186969,-0.185304314401143,0.156990935797003,0.412345520974106,0.271248788841233,0.12641193500898,0.106387228897708,0.527347778665615,-0.244973684868751,-0.0340265856688473,-0.0964074562670832,0.113380857298238,-0.113011315190633,0.239152523954109,0.0569992967837211,-0.066748215200717,0.244782844229394,0.149989588676127,-0.23829625328259,0.102644213444695,-0.0728502053322401,-0.0451768259170816,0.314017581502348,0.0169546521156311,0.0960821345197426,-0.00533677070046249,-0.0166972432966155,0.279789868308265,-0.152034330811508,0.16193212234429,0.121764187770292,-0.0340271648892044,-0.251383128403391,0.498216697008224,-0.0671358919186785,0.357930238018376,-0.134864871926901,-0.128087145473503,-0.00267040652372267,-0.0569132016961218,-0.0391216342335217,-0.00401479225603813,-0.227508261930715,0.0812658388318846,-0.0794587438985505,0.102604112119294,-0.442264363108683,0.0256537853577776,0.140611346532635,-0.140771479428288,-0.226658921871221,0.0176955104193747,0.308864949137856,0.188885265821655,-0.0999596948503413,-0.0728682605275161,-0.0782559000077386,0.0521223729048573,-0.0799299839800305,-0.173311894024707,0.0716202875083861,-0.0432651817751421,0.280956257413199,0.024907921007967,0.00825720526653536,0.251875796260923,-0.00691823976723797,-0.12501111651068,0.12351063020345,-0.130494544441321,-0.0675898254765095,0.24045834611888,-0.0456913246347976,-0.0109627992851397,0.299685407534736,0.348577268616614,0.160526860400291,-0.0362515525930489,-0.356569132534295,0.157846633656018,0.131882169907297,-0.119317273402032,-0.125595093979507,-0.210583803295177,-0.0473082905724787,0.00614765047295166,0.0172658979657289,-0.131173614079446,0.169032314087551,0.0970675000499012,0.0466315984165066,-0.0611075841964976,0.0930503168728053,0.315377537707397,0.178021736976157,-0.0947227697634841,-0.277217432663643
"HALLMARK_COAGULATION",-0.0834438857588132,-0.199682653242484,0.0533377611969968,-0.124039544150963,-0.0541951117894852,0.0555691016106603,-0.218284318848626,-0.291760903547428,0.0854494572975988,0.113480568054272,0.181736836145665,-0.135535201157875,0.0466622186024024,-0.0526819326516469,0.064287536493872,-0.35680805268107,-0.426284787279189,-0.483144341949215,0.257234569195403,0.184054493008432,-0.230304685874342,-0.00720705957554879,-0.00320709167415376,0.215336754997389,-0.0112513376662078,0.105952029151438,-0.00376558344770533,0.0175399190495772,0.0162146249876498,-0.0827453545667919,-0.314499376449292,-0.0460782547642704,-0.00514357259691284,-0.177522162280398,0.300072427886307,-0.190499380679568,-0.00683654662403674,0.0154138023351488,0.149002064194997,0.147428120824797,-0.12933422384345,0.0344793857964279,0.104532197668312,0.047796273778268,-0.135154188301608,0.468190435504189,-0.104581819768484,0.198744642483321,0.187181048594976,-0.0624805749822389,-0.0604570369691052,0.111805731699064,-0.107675615419511,-0.030199324937389,0.323102859666535,0.0814707735173595,-0.0924009478002594,-0.398614843791158,-0.357517212255017,-0.0525318453872334,-0.222295976515755,-0.118450814497064,0.00199329464565725,-0.141006883315929,0.0338112156369368,0.00666848888400048,0.0994414377026088,0.176939932183391,0.101240126219618,-0.297743177466717,0.0723089591722988,0.223604563534492,0.144009777315829,-0.111867718986223,-0.112437979140797,-0.127076057346881,-0.179908143310339,-0.26161113884717,0.14830972629344,0.165554853974045,-0.0650900906487725,-0.134401770724277,-0.0683531257289657,-0.0393158266261806,-0.0128449354486736,0.15779687876827,0.130294097527371,0.125493898888839,0.0355038389467261,0.0553774901997527,-0.0605166508853852,-0.0384318221202168,-0.120319787935899,-0.236909567732849,0.329119719286391,0.114018291272416,0.0291118520021918,0.136800810897927,0.188157513679079,0.0518552642149137,0.0547190461587692,-0.18855877955133,0.382879474499257,0.142036817685823,-0.384062998317615,0.370250237361794,-0.0851172028581142,0.231397402156221,-0.0941239365847003,0.069389311528465,-0.111516395767314,-0.0130192957898551,0.15510052831358,0.0467254379783444,0.419276917396648,0.194500240980679,0.178858660912402,0.134741660569227,-0.0640883433084036,-0.148426208361534
