"contrast","gene","log2FoldChange","baseMean","stat","pvalue","padj","positive_group","negative_group","positive_n","negative_n"
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","DDR1",0.93415537500001,10.2440983541667,8.36830444667699,1.23039665171508e-13,3.76961735984954e-12,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","RFC2",0.407452250000003,8.01012795833333,4.65982896314281,8.2494410305063e-06,5.18175150217903e-05,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","HSPA6",-0.155208083333328,8.21189054166667,-0.988942744964159,0.324677783828407,0.455644589867588,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","PAX8",0.081955479166675,6.00314407291667,2.52078637932247,0.0130192041178271,0.0339154750760484,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","GUCA1A",0.145884222222226,5.25138688888889,3.22334841605833,0.00163125011957633,0.00567836611691241,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","MIR5193",-0.208524916666658,8.92890479166666,-2.59174103972706,0.0107321824854181,0.0287570354848797,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","THRA",-0.11042195833333,6.5509756875,-3.73205158452074,0.00029147550762375,0.00125838678525807,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","PTPN21",-0.858333599999994,6.59509623333333,-10.7039096677067,3.46402188721508e-19,3.42851836070748e-17,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","CCL5",-0.757061888888886,9.91609627777778,-4.66011525338062,8.23973403778934e-06,5.17770154498823e-05,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","CYP2E1",0.0315828333333377,5.05976052777778,0.560735393542925,0.576021715122738,0.692843085237928,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","EPHB3",0.723612166666677,7.46740825,6.85554693487763,3.26604310790284e-10,5.10405585741176e-09,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","ESRRA",0.217083583333347,8.05162545833333,4.85208458684876,3.70451081490759e-06,2.50346034699653e-05,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","CYP2A6",0.116364291666673,6.53568272916667,2.09821822799729,0.037980080372872,0.0830521807093755,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","SCARB1",-0.0689515999999983,6.3089494,-1.44582240543542,0.150829443087477,0.253243020852776,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","TTLL12",0.56008141666667,8.256659125,6.62056335574209,1.05560479538833e-09,1.49521265957568e-08,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","LINC00152",0.291766000000004,7.72922591666667,3.437272944289,0.000807809073747558,0.00308843587028083,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WFDC2",0.734073777777787,7.24595716666667,7.88166725667371,1.63807644127518e-12,4.04691497789687e-11,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","MAPK1",-0.21427638095237,7.84964223809524,-3.53599170615384,0.000577914166980271,0.00229942529732376,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","ADAM32",0.0252940000000006,4.28542333333333,0.600131366373391,0.549548475703005,0.670341112706756,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","SPATA17",0.14682866666667,5.52676983333333,1.07420857568429,0.284880957334497,0.412851931554729,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","PRR22",0.0936349166666766,6.26290895833333,1.92582789380448,0.0564876671614885,0.115072433533448,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","PXK",-0.39241833333333,6.72794508333333,-5.34045947416538,4.4524231330983e-07,3.6905279249065e-06,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","VPS18",-0.00175024999999618,7.066039375,-0.0357138058226422,0.971569806038019,0.982590668558198,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","MSANTD3",-0.0277636666666563,8.09452333333334,-0.336714337052164,0.736919437910971,0.820690811198453,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","SLC46A1",0.233936083333335,6.863438125,5.03876881757223,1.67137111206413e-06,1.22127717574493e-05,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","TIMD4",-0.0253018333333301,4.82537141666667,-0.196202801017405,0.844782772462827,0.899480326549699,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","SLC39A5",0.152359000000008,6.49096791666667,3.09907161108787,0.00241788818102614,0.00798548480174514,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","ZDHHC11",-0.146167888888885,7.41875855555555,-0.880551710052356,0.380317774047517,0.513386981613853,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","ATP6V1E2",0.279592500000011,5.65231133333333,4.53935994958191,1.34849087480714e-05,8.0335465185632e-05,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","AFG3L1P",-0.031344722222217,6.50007525,-0.480857723056581,0.631491756470683,0.738549672189903,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","CILP2",1.01293208333334,5.74718954166667,7.41294204693027,1.89865148142409e-11,3.87923191101767e-10,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","PIGX",0.247094444444451,5.99815461111111,3.15731076702664,0.00201341474727856,0.00680874932791773,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","TMEM196",-0.0608661666666679,4.51541483333333,-2.76107051662261,0.00666543645429725,0.0191731626608853,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","SLC39A13",0.0296950000000056,8.257207,0.493744487519651,0.62238767014717,0.731174333243815,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","BEST4",0.0888681666666669,4.12474058333333,1.88996646296653,0.0611709088844082,0.122608097039085,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","AK9",-0.0855994444444415,5.03420438888889,-1.24505952649841,0.215531802002504,0.333560372225708,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","CORO6",-0.135664499999999,5.66658908333333,-3.29490613358646,0.00129408631382046,0.00465253098069364,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","TMEM106A",0.107871041666677,5.32623864583333,2.97924315105656,0.0034970005114231,0.0110024958653618,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","ALG10",0.025719033333333,5.16905375,0.385762407226511,0.700354551586397,0.792667324229682,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","TTC39C",0.292046888888898,6.80352316666667,3.86350436134999,0.000181626195393848,0.000826948388343069,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","NEXN",-1.36721108333333,8.25007529166666,-6.65638403305192,8.83719854372829e-10,1.26871502454944e-08,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","C15ORF40",-0.0169064166666582,5.84599945833333,-0.260866894343426,0.794641573860379,0.8636616530897,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","RAX2",0.14378,7.76367816666667,2.88099190881228,0.00469598922253692,0.0141539012986643,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","MFAP3",-0.135658055555548,7.05558025,-1.37407601583522,0.171975000012008,0.280382702590522,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","EYA3",0.0812621666666731,5.73837658333333,2.78525073611416,0.00621628849110973,0.0180495066396497,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","GIMAP1",-1.3427934,7.3324428,-10.8302537074989,1.72320173728432e-19,1.87492610942671e-17,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","KLK8",0.176691499999999,5.72235897222222,3.46067869810648,0.00074659327584773,0.0028849446566478,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","CCDC65",-0.238805111111103,4.17235377777778,-5.36444767553751,4.00047132058927e-07,3.35265033833927e-06,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","FAM122C",-0.03637079166666,5.13383514583333,-0.773499034831235,0.440745701365187,0.571594892565653,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","CCDC11",-0.522091999999994,5.10786658333333,-4.90372039308604,2.97784195243814e-06,2.0609647404649e-05,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","ARMCX4",-0.0788447666666618,5.11559535,-1.9129355382806,0.0581352979974744,0.117753404237308,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","RBBP6",-0.108397437499989,7.54408744791666,-1.96695603461063,0.0514922859914754,0.106612018131976,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","CENPBD1",0.367764055555567,6.42932825,6.65026539608305,9.10985724114068e-10,1.30432300319189e-08,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","TRIOBP",-0.186680533333323,8.3006341,-3.42454372471245,0.00084305061564471,0.0032050450053426,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","CATSPER1",-0.060376999999999,6.41635583333333,-0.815417487310504,0.416446250975999,0.548408929775282,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","HOXD4",0.207899166666671,5.27091741666667,3.44276585717203,0.000793033215840969,0.00303632903115009,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","GSC",0.156729000000002,5.20980583333333,2.4472363426363,0.0158415554961887,0.0399287631629839,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","SP7",0.0297938333333345,5.18465891666667,1.04379666363517,0.298674236172345,0.427845221039342,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","PDE7A",-0.114982388888881,5.81040388888889,-2.32650550292785,0.0216661059145473,0.0520022551190664,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","CNOT7",-0.073809416666661,8.1427765,-1.05268341571363,0.294597759236857,0.423336448608551,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","CRYZL1",-0.150473166666655,7.05199655,-2.52211275907518,0.0129727283035672,0.0338138117099543,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","PRSS33",0.0143414166666789,5.87230579166667,0.218846603078663,0.827140712464772,0.887147646199388,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","C19ORF26",0.0965473750000054,5.95135764583333,1.68677690168114,0.0942400362483451,0.174186991194728,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","MCMDC2",0.0785928333333348,3.69914908333333,3.43053348495092,0.000826291506881565,0.00315227034883936,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","TIRAP",0.0451335833333362,6.31708083333333,0.952903936996938,0.342551109083492,0.474440528649532,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","LEAP2",-0.0597501666666611,6.30548675,-0.815558687786706,0.416365775157942,0.548348409987687,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","MSI2",0.688050629629634,6.54173692592593,11.6793158073717,1.587360768921e-21,2.66836185129043e-19,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","SCIN",0.703335500000008,6.93901897222222,4.51290260672513,1.50054854976473e-05,8.83996439357969e-05,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","CTCFL",-0.0367298333333306,4.12422525,-1.17770456147873,0.241241004033539,0.363727597719702,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","C4ORF33",0.0328953888888925,4.65169758333333,0.6739883980422,0.501612800650175,0.627455423026761,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","ZNF333",-0.0789125833333317,5.36676151388889,-3.19106470218683,0.0018087414019397,0.00620578003034839,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","TVP23C",0.133593333333342,6.998687,2.91541895544461,0.00423851018158681,0.0129731894970322,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","RDH10",0.14852783333334,6.68030816666666,1.27174242034971,0.20591983626521,0.322263884438303,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","SRSF12",0.168141750000007,4.693277375,3.46581793069576,0.000733749179141258,0.00284257348744018,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","FAM71A",-0.0830423333333243,6.71012833333333,-1.65879070432059,0.0997652720911639,0.182320532620556,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","GAPT",-0.416082999999994,5.047256,-2.85390824728785,0.00508722416333563,0.0151690472917256,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","FLJ30901",-0.918160666666666,7.04649566666667,-14.0670590582564,3.64694645328523e-27,2.3173427153465e-24,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","ERICH5",0.501076250000005,4.40876479166667,4.21834014701311,4.7982138543185e-05,0.000251516337841203,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","CCDC185",0.031452000000006,4.55298633333333,0.996007415070604,0.321247448709703,0.452128674269335,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","ENTHD1",0.0730934166666719,3.729341125,1.71523589959751,0.0888788271162518,0.16613906140484,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","TSSK3",0.122514333333335,7.74912166666667,1.92266821591643,0.0568877867143718,0.115739105513724,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WFDC6",-0.0780124999999936,4.80762575,-2.02561924126166,0.0450183537346222,0.0954140367863689,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","CLEC12A",-0.60859277777777,5.18078111111111,-7.29219796781991,3.54052288436961e-11,6.86308435383203e-10,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","BRF1",0.111916250000007,6.124091625,3.3226546981591,0.00118182066435956,0.00429911822618401,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","C15ORF27",-0.135589999999993,5.56981466666667,-2.53070582717825,0.0126752138545373,0.0331416524872443,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","BACH1",-0.137747027777772,5.41228229166667,-4.21406450224525,4.87803081812629e-05,0.000255363185240881,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","CALML6",-0.0264339999999956,4.23314233333334,-0.806232136629857,0.42170128974475,0.553265265794535,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","NLRP5",0.111488000000005,5.46741366666667,1.92662287492356,0.056387370572211,0.114911203857919,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","ODF4",0.0350986666666788,5.20057983333333,1.38856603895657,0.167532614703779,0.274903352017032,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","CLEC4F",-0.111213999999994,5.72898466666666,-2.05476039888786,0.0420695384750312,0.0901761777688717,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","DEFB106A",0.0342843333333391,5.37932333333333,0.91513537485868,0.361952838405538,0.494223982679317,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WFDC9",-0.0255205833333285,4.719960875,-0.836124377330297,0.404744062489926,0.537296770541405,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","NEDD1",-0.0902783333333268,7.82122577777778,-1.40153905928428,0.163629853071846,0.26972522890659,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","TTLL10",-0.0810939999999967,5.86805994444444,-1.91333902543566,0.0580831263960999,0.11768120711246,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","CALR3",0.0437655000000028,4.14373291666667,0.970565337528809,0.333713820020363,0.465038895384313,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","C10ORF25",-0.654297666666663,6.2714525,-6.15204629939276,1.03737392096257e-08,1.19761652772173e-07,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","ETV3",-0.179263888888878,6.91713055555555,-4.69101746987579,7.25447950463021e-06,4.61280195194923e-05,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","KLHL10",0.0107670833333362,4.706679875,0.43053163416235,0.667579972590261,0.767382441809226,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","TM2D3",-0.166307833333327,9.79018533333334,-2.18943935344332,0.0304966721993814,0.0691930138146502,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","ZNF485",0.203967666666665,4.04856316666667,4.77192617875596,5.18488438298773e-06,3.40278788952496e-05,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WDR17",-0.19429258333333,3.80127220833333,-4.53023527632952,1.39917022753531e-05,8.30742614446355e-05,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","MFSD6L",0.282933666666673,6.04734716666667,5.57575651754294,1.54071434087903e-07,1.40661021046171e-06,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","CDH23",-0.0956191666666619,5.71443629166666,-3.22055629332178,0.00164593472892025,0.0057225861537016,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","ANKAR",0.0091030000000023,3.84925108333333,0.513393200362797,0.608618698804047,0.720594196903308,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","MEGF11",0.214306333333339,5.05179394444444,3.25844554451789,0.00145678155804908,0.00514774851304386,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","GPR182",-0.070971833333326,5.61514441666667,-2.39812196743398,0.0180178305004728,0.0444824378607911,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","ESX1",0.0794863333333371,4.1799765,3.15437673213168,0.0020321866539841,0.00686638330147067,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","C8ORF12",-0.0720714999999954,4.27570008333333,-2.43348817043974,0.0164258359354779,0.0411695513968184,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","LOC653486",0.0407868333333425,4.56241258333333,1.18601420806324,0.237955890895267,0.360073185827469,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","DNAJC5G",0.0605028333333371,6.14827525,1.06647387314167,0.288346955080101,0.416696434380255,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WDR88",0.0174975833333351,4.29687270833333,0.831619003631295,0.40727311805301,0.539436954753082,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","PRUNE2",-0.220504111111107,5.34481038888889,-2.50758548357598,0.0134899487625848,0.0349554817825693,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","MBD3L2",0.0553763333333412,5.31959866666667,1.36476801376199,0.174875394569351,0.283961469463016,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","ADAMTSL1",-0.031176388888885,4.80702783333334,-1.21933369877611,0.225104959483837,0.344948134267158,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","MBD3L1",-0.0126511666666635,4.33054375,-0.45591233464553,0.649275654088626,0.752714351616484,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","FAM46D",-0.00111549999999605,3.71321375,-0.0475416786246164,0.962160416389977,0.976951057498433,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
