"contrast","gene","log2FoldChange","baseMean","stat","pvalue","padj","positive_group","negative_group","positive_n","negative_n"
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","RP11-673E11-2",0.0335121666666724,5.14403041666667,1.21670751342458,0.226099256856908,0.346004503135726,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234184_AT",0.0767046666666715,3.8059815,2.98984310002991,0.00338610644127612,0.0107169176575264,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234185_AT",-0.0151064999999964,3.44127508333333,-0.796870620239235,0.427097422039059,0.558677442799996,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234186_AT",-0.0638704999999957,4.61433725,-1.47274182774267,0.143434472657205,0.243666807335689,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234187_AT",0.0657521666666678,5.17054725,1.76310665043456,0.0804238591707355,0.153324416273952,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234188_AT",0.0852976666666692,5.16563183333333,2.10735494540764,0.0371652559763978,0.0815792004716135,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","RP11-669C19-1",0.0444440000000026,4.016079,1.43487766421629,0.153918861911522,0.257160084233853,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234190_AT",0.0566820000000003,4.2099885,1.60432331425968,0.111267229844677,0.199308940030141,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234193_AT",0.033048,3.771172,0.409281934629314,0.683061178834113,0.779509221003542,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234194_AT",-0.10461033333333,3.890878,-3.32493747368235,0.00117300261241427,0.00427111609711879,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234196_AT",-0.144246666666666,4.308425,-2.49528908874534,0.0139420772571085,0.035959874698457,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234199_AT",0.0240185000000102,5.40043925,0.623261308427172,0.5342936913175,0.657058841993578,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234200_AT",0.142985000000016,5.600424,3.58935618657378,0.000480896403985565,0.00195603119332036,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234201_X_AT",0.00130800000000963,7.10535783333334,0.0221588757143479,0.98235796587958,0.9889256949924,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234202_AT",0.0140845000000027,3.65246191666667,0.613924804333887,0.540425221662755,0.662071921938262,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234203_AT",-0.00627899999999482,4.87725833333333,-0.12619560617831,0.899787939688215,0.936317192558429,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234204_AT",0.0246590000000029,3.5294765,1.16867760610768,0.244846192287672,0.367732266955263,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234205_AT",0.0295228333333419,4.13724075,1.12076018791549,0.26462424136511,0.390858985235282,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234206_AT",0.0802993333333388,5.24916683333333,2.78475743993869,0.00622516883259322,0.0180670356244011,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234207_AT",0.242142166666667,3.92753191666667,5.21240771985682,7.84797940459198e-07,6.15801811961699e-06,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","AC106801-1",0.0700238333333427,6.29642841666667,1.44289453502523,0.151651178955221,0.254226973754027,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234209_AT",0.00323350000000033,3.64596125,0.159947993272849,0.873190525568934,0.918765894613367,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234211_AT",0.249559666666672,4.60276316666667,2.65613271144605,0.00897684567048496,0.0246822469750738,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234213_AT",0.0737010000000042,3.74363933333333,3.19919658388277,0.00176241378421387,0.00607108840271699,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234214_AT",0.0110328333333367,6.53668308333333,0.153862126731698,0.877976480683218,0.921939144889824,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234215_AT",-0.0899056666666569,4.2774885,-2.81740617996709,0.00566173645244632,0.0166400581712,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","FLJ21408",0.0845805000000093,5.8073435,2.31783720726083,0.022149154684093,0.0529536303309743,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","AK024936",0.118741500000003,3.93932875,3.02434288113013,0.0030472365787521,0.00978707575248007,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234218_AT",0.033487666666673,3.92674816666666,1.26068178580168,0.209865242115166,0.326892612013578,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","LOC101928820",0.351436166666669,4.38710441666667,6.22866296606044,7.17665320188677e-09,8.47303786239854e-08,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234221_AT",0.00856300000000054,3.57491783333333,0.404867686021501,0.686294400152414,0.781991155443903,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234222_AT",-0.0277396666666592,4.66071566666666,-0.521909878109161,0.602693542966835,0.715846444861464,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234223_AT",0.052163833333335,4.55462691666667,1.37970500104387,0.170238765885074,0.278250876157725,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234224_AT",-0.431677499999997,5.33751808333334,-1.87752756520535,0.0628696035451107,0.125487576502943,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234225_AT",0.0415710000000065,4.94574366666667,0.965863874124088,0.336051634846018,0.467517471239341,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","OPN4",0.00775316666667081,6.02006475,0.275452316416866,0.783441728928378,0.855351449133453,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234227_AT",-0.0216581666666653,3.60956025,-1.05328618180854,0.294322635847924,0.42304218528431,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234228_AT",-0.00804433333333243,3.56396666666667,-0.363618452237358,0.716781718838036,0.805577558074331,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234229_AT",-0.025970499999997,5.05586658333333,-0.792630217182824,0.429555006615162,0.56104386907175,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234230_AT",0.00331716666666981,3.61113025,0.145200905107271,0.88479545892289,0.926496704968166,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","CASP16",0.0839443333333412,4.797407,2.33984551996599,0.0209408543201681,0.0505479321232381,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234232_AT",0.0628623333333378,5.07107066666667,1.91286515091295,0.0581444032457786,0.117753404237308,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","LOC101929705",0.0851166666666714,4.96961083333333,2.67066538157645,0.00861848733396556,0.02383305432043,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234235_AT",-0.00760433333332777,3.64243383333333,-0.300093729563424,0.764624043679373,0.841544687419453,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","MAP1LC3B2",0.0709851666666683,4.77626908333333,1.28221520381107,0.202234663004872,0.317827338658873,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234239_AT",0.033376333333341,5.196225,0.83253567029411,0.406757782798443,0.539091503307582,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234240_AT",0.0358013333333389,4.21313516666667,1.02572013458284,0.307083365650836,0.436877378205836,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234242_AT",-0.0172959999999938,3.81055783333333,-0.700006149165178,0.485276116900513,0.612587133861893,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234245_AT",-0.0863976666666622,4.689757,-1.09044687312901,0.277697555639925,0.405043164820869,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234246_AT",0.00487466666667213,5.333022,0.132705459730492,0.89464823247283,0.932908920634577,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234247_AT",-0.00808416666666156,3.57676975,-0.375650048847242,0.70783921355563,0.798776715702064,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234248_AT",0.000962833333338242,3.73400458333333,0.042968139188399,0.965798229667112,0.979205244918108,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234249_AT",0.0916468333333409,5.28224974999999,2.68174445130376,0.00835404374789791,0.0231986997565304,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","LOC100506405",0.0247996666666745,4.56693333333333,0.647335655471015,0.518649163867928,0.642918555803666,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234251_AT",-0.0327408333333281,4.91037975,-0.769157231423135,0.443308781446025,0.573931013149277,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234252_AT",-0.0321249999999944,5.10735383333333,-1.12304272426523,0.263657526546279,0.389884257663571,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234253_AT",-0.0196886666666636,4.487618,-0.373907037391772,0.709132220604808,0.799696155213692,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","RP11-613M5-1",0.00300433333334116,5.83821933333333,0.0417217952061347,0.966789705338153,0.980022836076143,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234255_AT",0.125205666666672,4.529387,2.05221573609396,0.0423202685891853,0.0906219082932538,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234258_AT",-0.11282983333333,5.14420608333334,-1.7863168347573,0.076569084574301,0.147301022465039,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234259_AT",-0.0401979999999984,4.03998983333333,-1.65723701034306,0.100079522566466,0.182810700365618,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
